LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
0	43.32	-21.6433	80000	74811.1
1	104.627	-67.353	60000	61668.2
2	181.015	-70.2768	40000	43647.9
3	246.992	-226.437	20000	31780.4
4	262.604	-464.073	0	17402.8
5	341.36	-754.165	-20000	6415.56
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	38.1932	19.1764	80000	74037.6
1	99.6256	41.0019	60000	62855.7
2	143.594	33.0706	40000	51233.4
3	213.524	-57.6503	20000	40497.8
4	256.016	-204.38	0	28135.9
5	352.87	-320.196	-20000	14894.4
6	1004.35	-0.81391	-40000	2018.09
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-20.4773	-3.24449	80000	74307.5
1	-83.7538	-46.481	60000	21026.6
2	-225.542	-245.955	40000	9957.63
3	0	0	20000	0
4	0	0	0	0
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-30.5456	-19.5739	80000	75204.2
1	-47.7966	-90.3676	60000	62787.8
2	-47.0737	-136.907	40000	51246.9
3	-2.03901	-135.437	20000	39570.1
4	40.1009	-268.823	0	27889.4
5	-89.2434	-458.023	-20000	17690.9
6	-364.094	-619.373	-40000	6040.07
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-18.2058	6.19473	80000	74257
1	-38.9094	4.65211	60000	61218
2	-100.143	91.9321	40000	50433.8
3	-204.6	188.622	20000	39253.6
4	-314.113	316.381	0	27058.4
5	-325.114	348.044	-20000	14987.8
6	-476.489	201.213	-40000	2010.2
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-29.4964	-1.33716	80000	74432.4
1	-57.1143	-34.0997	60000	62496.8
2	-46.8804	-37.7136	40000	50248.8
3	-22.4158	-129.475	20000	31267.9
4	-4.33935	-182.151	0	15863.9
5	-184.707	-459.954	-20000	4742.06
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-33.697	13.7896	80000	72826.7
1	-90.1888	76.6286	60000	57760.3
2	-192.678	274.568	40000	46349.2
3	-264.287	537.813	20000	34960.8
4	-377.95	889.642	0	23111.5
